wine_name,region_name,AVG_price,list_of_years,avg_ratings,total_ratings_count
'Giulio Ferrari' Riserva del Fondatore,Trento,427.25,"2001,2002,2004,2007,2009",4.58,6368
30 Year Old Tawny Port,Porto,144.3,N.V.,4.4,602
5 Puttonyos Aszú (Blue Label),Tokaj,56.1,2017,4.4,668
5 Stelle Sfursat,Valtellina,177.5,"2017,2018",4.5,1079
50 & 50,Toscana,171.875,"2012,2015",4.45,2123
60 Sessantanni Old Vines Primitivo di Manduria,Primitivo di Manduria,44.35,"2017,2018",4.45,18838
ARTEMIS Cabernet Sauvignon,Napa Valley,89.95,2020,4.5,627
Aconcagua Valley,Aconcagua Valley,128.98,"2009,2016,2017,2018,2019",4.46,4386
Alexander Valley Cabernet Sauvignon,Alexander Valley,137.5,2017,4.5,3609
Almaviva,Puente Alto,207.5,"2014,2019",4.55,3797
Altagracia Cabernet Sauvignon,Napa Valley,162.15,2012,4.4,552
Altero Brunello di Montalcino,Brunello di Montalcino,118.125,"2004,2007",4.45,1237
Amarone della Valpolicella Classico,Amarone della Valpolicella Classico,128.35,"2000,2011,2016,2017,2018,2018,2018",4.4,9234
Amarone della Valpolicella Classico Riserva (Sergio Zenato),Amarone della Valpolicella Classico,490.0,"2009,2012",4.5,2268
Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,687.0833333333334,"2006,2008,2010",4.7,2757
Amarone della Valpolicella Vigna Garzon,Amarone della Valpolicella,87.5,2015,4.4,1034
Barbaresco,Barbaresco,573.1818181818181,"1997,1998,2000,2004,2005,2006,2007,2008,2009,2015,2016",4.572727272727272,9062
Barbera d'Alba Vigna Francia,Barbera d'Alba,111.25,2018,4.4,642
Barolo Bussia,Barolo,162.5,2012,4.4,758
Barolo Cascina Francia,Barolo,420.0,2012,4.6,559
Barolo Monprivato,Barolo,705.0,2010,4.5,539
Barolo Riserva,Barolo,470.0,1982,4.6,561
Belle Epoque Brut Champagne,Champagne,247.5,2013,4.4,1864
Blanc de Blancs Brut Champagne Grand Cru,Champagne Grand Cru,92.95,N.V.,4.4,5553
Bolgheri Superiore,Bolgheri Superiore,491.7361111111111,"1995,1996,1997,1998,1999,2001,2002,2005,2006,2007,2009,2010,2011,2012,2017,2017,2018,2019",4.6,28293
Bolgheri Superiore Sondraia,Bolgheri Superiore,91.3,2017,4.4,1044
Bramare Malbec Uco Valley,Uco Valley,60.2,2019,4.5,700
Brunello di Montalcino,Brunello di Montalcino,247.12190476190477,"1997,2001,2004,2004,2005,2007,2008,2009,2010,2011,2013,2013,2013,2015,2015,2015,2015,2015,2016,2016,2017",4.438095238095238,30468
Brunello di Montalcino Riserva Madonna del Piano,Brunello di Montalcino,736.25,2010,4.6,628
Brunello di Montalcino Riserva Vigna Paganelli,Brunello di Montalcino,118.3,2012,4.4,1392
Brut Champagne,Champagne,437.26599999999996,"2000,2004,2006,2012,2013",4.58,48835
Brut Champagne (Gold),Champagne,329.0,N.V.,4.4,3874
Brut Cuvée Champagne Rosé,Champagne,72.0,N.V.,4.4,36681
Brut Rosé Champagne,Champagne,296.2775,"2008,N.V.,N.V.,N.V.",4.475,45873
Cabernet - Cabernet,Mendoza,128.15,"2018,2019",4.4,5260
Cabernet Sauvignon,Napa Valley,119.95,"2018,2019,2019",4.5,20006
Cabernet Sauvignon (Signature),Napa Valley,106.96,2018,4.6,1081
Campo León Amarone della Valpolicella,Amarone della Valpolicella,123.75,2013,4.4,1095
Campo dei Gigli Amarone della Valpolicella,Amarone della Valpolicella,90.0,2012,4.4,588
Campolongo di Torbe Amarone della Valpolicella Classico,Amarone della Valpolicella Classico,233.75,2011,4.5,766
Carruades de Lafite Pauillac,Pauillac,707.8499999999999,"2009,2010",4.4,1511
Castello della Sala Cervaro della Sala,Umbria,111.125,"2019,2020",4.45,4398
Castillo Ygay Gran Reserva Especial Tinto,Rioja,235.0,2011,4.6,767
Cerretalto Brunello di Montalcino,Brunello di Montalcino,533.75,2004,4.6,633
Chardonnay,Napa Valley,78.95,2019,4.4,962
Chassagne-Montrachet,Chassagne-Montrachet,96.25,2018,4.4,516
Chateau Buena Vista Cabernet Sauvignon Napa Valley,Napa Valley,61.95,2018,4.4,3867
Château Margaux (Premier Grand Cru Classé),Margaux,1064.02,"1998,2001,2002,2007,2009,2010,2011,2014",4.65,8199
Châteauneuf-du-Pape,Châteauneuf-du-Pape,1955.45,"2001,2004,2005,2006,2006,2007,2007,2008,2009,2019",4.57,11230
Clio,Jumilla,54.95,2020,4.5,697
Clos Apalta,Apalta Valley,231.35,"2016,2017",4.6,2028
Comtes de Champagne Blanc de Blancs,Champagne,811.25,2011,4.5,1127
Continuum Estate,Oakville,645.0,2013,4.5,848
Cos d'Estournel,Saint-Estèphe,166.11,2014,4.4,847
Costasera Amarone della Valpolicella Classico,Amarone della Valpolicella Classico,195.625,"2013,2016",4.4,15367
Cream Tradición Vos 20 Years,Cream Sherry,90.0,N.V.,4.4,623
Cristal Brut Champagne (Millésimé),Champagne,996.6071428571429,"1999,2000,2002,2008,2009,2012,2014",4.642857142857143,20293
Cristal Rosé Brut Champagne (Millésimé),Champagne,3202.5,2002,4.7,501
Côtes du Rhône,Côtes-du-Rhône,180.0,2016,4.4,551
Dagromis Barolo,Barolo,120.0,2018,4.4,547
Dalmau Rioja,Rioja,168.75,2016,4.5,697
Domus Aurea Cabernet Sauvignon,Maipo Valley,169.75,2013,4.4,827
Eight Years In The Desert,California,64.35,2019,4.4,1454
Evenstad Reserve Pinot Noir,Willamette Valley,104.95,2018,4.4,519
Finca Altamira Malbec,Paraje Altamira,99.95,2015,4.6,666
Finca Bella Vista Malbec,Perdriel,113.0,2014,4.4,872
Flaccianello della Pieve,Colli della Toscana Centrale,309.3625,"2010,2016,2017,2018",4.5,4243
Flor de Pingus,Ribera del Duero,212.5,2018,4.6,2109
Fusion V,Stellenbosch,36.1,2018,4.5,890
Gran Reserva 890,Rioja,198.95,2010,4.5,744
Gran Reserva Rioja (Finca Ygay),Rioja,57.95,2015,4.4,827
Gran VU Blend,Uco Valley,99.8,2015,4.4,929
Grand Siècle Champagne (Grande Cuvée),Champagne,183.7,N.V.,4.5,9824
Grand Vin Pauillac (Premier Grand Cru Classé),Pauillac,1443.89,"1999,2000,2003,2005,2008,2012",4.7,5158
Grand Vin de Château Palmer (Grand Cru Classé),Margaux,595.625,"1999,2010,2011,2012",4.525,3030
Grande Cuvée,Champagne,245.0,N.V.,4.6,28513
Grange,South Australia,739.0,2015,4.7,509
Guerriero della Terra,Marche,27.4,2019,4.4,1803
Hermitage La Chapelle Rouge,Hermitage,310.0,2006,4.5,927
Hommage à Jacques Perrin Châteauneuf-du-Pape,Châteauneuf-du-Pape,555.0,2012,4.4,655
Il Pino di Biserno,Toscana,90.0,"2017,2018",4.4,3475
Insignia,Napa Valley,477.5,"2016,2018",4.65,2310
Isosceles,Paso Robles,78.17,2017,4.5,1490
Kairos,Veneto,221.25,2012,4.4,502
Kalós Cru Gran Reserva Malbec,Mendoza,34.85,2018,4.4,615
La Grande Année Brut Champagne,Champagne,267.575,"2012,2014",4.5,4949
La Grande Dame Brut Champagne,Champagne,832.5,2008,4.5,2702
Lagrein Riserva Porphyr,Südtirol - Alto Adige,142.5,2016,4.4,640
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Champagne Grand Cru 'Le Mesnil-sur-Oger',2868.3333333333335,"1996,1997,2002",4.733333333333333,3619
Le Petit Mouton de Mouton Rothschild Pauillac,Pauillac,550.0,2009,4.4,869
Le Serre Nuove,Bolgheri,55.95,2020,4.4,1244
Limited Edition 10 Vendemmie,Montepulciano d'Abruzzo,34.2,N.V.,4.5,9453
Lion Tamer Napa Valley Red Blend,Napa Valley,64.99,2018,4.4,991
Lodovico,Toscana,547.0833333333334,"2011,2012,2013",4.6,2000
Luce,Toscana,206.25,2019,4.4,522
Lupi Rezerva,Moldova,48.92,"2016,2017",4.55,3186
MV Rosé,Champagne Grand Cru 'Aÿ',293.8,N.V.,4.5,588
Macán Clásico,Rioja,56.0,2018,4.4,1559
Malbec,Mendoza,25.99,2019,4.4,2567
Malbec Argentino,Mendoza,89.95,2020,4.5,747
Malleolus,Ribera del Duero,35.95,2020,4.4,625
Mazzano Amarone Della Valpolicella Classico,Amarone della Valpolicella Classico,190.0,2011,4.5,722
Memorias,Maipo Valley,29.95,2018,4.4,804
Mendoza,Mendoza,93.7,2018,4.5,630
Messorio,Toscana,448.75,2015,4.6,543
Mille E Una Notte,Contessa Entellina,59.95,2018,4.4,747
One Point Five Cabernet Sauvignon,Stags Leap District,125.95,2019,4.5,770
Opus One,Napa Valley,720.2533333333334,"2012,2013,2015,2017,2018,2019",4.6499999999999995,24607
Oreno Toscana,Toscana,146.25,2018,4.4,882
Overture,Napa Valley,180.0,N.V.,4.5,16804
P2 Plénitude Brut Champagne,Champagne,893.75,2003,4.7,803
Palo Cortado Tradición Vors 30 Years Sherry,Palo Cortado Sherry,99.95,N.V.,4.4,1050
Papillon,Napa Valley,147.975,"2018,2019",4.5,5377
Pauillac (Grand Cru Classé),Pauillac,300.45,"1990,2009,2011,2014,2015,2015,2015,2016",4.5,13785
Pauillac (Premier Grand Cru Classé),Pauillac,1682.8284210526317,"1986,1997,1999,2000,2002,2003,2004,2005,2008,2008,2009,2010,2010,2011,2012,2014,2015,2016,2017",4.6421052631578945,19605
Pedro Ximenez Tradición 20 Years Old Vos,Pedro Ximénez Sherry (PX),132.9,N.V.,4.5,954
Pessac-Léognan (Grand Cru Classé de Graves),Pessac-Léognan,130.69,"2006,2016,2018",4.4,3832
Pessac-Léognan (Premier Grand Cru Classé),Pessac-Léognan,1325.875,"1997,1998,1999,2002,2004,2006,2008,2009,2012,2013",4.59,11047
Pian delle Vigne Brunello di Montalcino,Brunello di Montalcino,77.145,"2013,2017",4.4,5877
Pieve Santa Restituta Brunello di Montalcino,Brunello di Montalcino,125.65,"2016,2017",4.4,2719
Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,353.75,2010,4.4,616
Pomerol,Pomerol,4070.2083333333335,"1979,1982,1990,2007,2009,2010",4.6499999999999995,5387
Quarz Sauvignon,Trentino-Alto Adige,205.0,"2016,2017,2018",4.433333333333334,2612
Quinta da Leda Douro,Douro,30.0,2019,4.4,536
R.D Extra Brut Champagne (Récemment Dégorgé),Champagne,533.75,2004,4.6,1404
Redigaffi Toscana,Toscana,470.0,2015,4.6,539
Reserva Ribera del Duero,Ribera del Duero,39.55,2018,4.4,840
Ribera del Duero Reserva,Ribera del Duero,44.95,"2017,2018",4.4,10266
Ribolla Gialla,Venezia Giulia,353.75,2010,4.4,794
Rioja Reserva,Rioja,69.94,2014,4.4,996
Roda I Reserva Rioja,Rioja,50.465,"2015,2017",4.4,2944
Rosé,Champagne,349.0,N.V.,4.6,3605
Rosé Brut Champagne Grand Cru 'Ambonnay',Champagne Grand Cru 'Ambonnay',121.0,N.V.,4.4,1782
Rutherford,Rutherford,246.125,"2016,2018",4.65,2527
Saffredi,Maremma Toscana,94.5,2018,4.4,599
Saint-Estèphe (Grand Cru Classé),Saint-Estèphe,152.0,2014,4.4,624
Saint-Julien (Grand Cru Classé),Saint-Julien,376.0,"2001,2005,2007,2010,2016",4.46,4785
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion Grand Cru,687.7546153846154,"1993,1998,2001,2004,2006,2007,2011,2011,2012,2012,2014,2015,2015",4.530769230769231,11759
San Vicente Rioja,Rioja,49.95,2018,4.4,535
Saperavi,Moldova,46.77,2017,4.4,788
Sassicaia,Bolgheri Sassicaia,936.8470588235294,"1988,1994,1997,1998,1999,2000,2005,2007,2008,2011,2012,2013,2014,2015,2016,2017,2019",4.605882352941176,68113
Sauternes,Sauternes,791.4100000000001,"1983,2005,2006,2015,2016",4.720000000000001,5130
Sauternes (Premier Grand Cru Classé),Sauternes,72.85333333333334,"2007,2009,2010",4.4,3345
Siepi,Toscana,123.375,"2005,2017",4.4,1093
Silex,Pouilly-Fumé,159.0,2018,4.4,804
Sir Winston Churchill Brut Champagne,Champagne,683.75,2008,4.6,1375
Special Selection Cabernet Sauvignon,Napa Valley,443.0,2017,4.7,1890
Sperss Barolo,Barolo,621.5,"1998,2004,2005,2008,2013",4.58,2885
St. Henri Shiraz,South Australia,132.225,"2016,2018",4.4,1725
TD9,Napa Valley,79.95,2019,4.4,524
Tenuta Guado al Tasso Bolgheri Superiore,Bolgheri Superiore,555.0,1999,4.4,750
Tenuta Nuova Brunello di Montalcino,Brunello di Montalcino,359.875,"2001,2012,2013,2015",4.5,6750
Tenuta Tignanello 'Solaia',Toscana,921.6666666666666,"1997,1999,2007,2009,2015,2017",4.683333333333334,9064
Tignanello,Toscana,463.0208333333333,"1997,1998,2003,2005,2009,2010,2011,2012,2015,2016,2017,2019",4.541666666666667,80733
Tinto,Ribera del Duero,42.95,2020,4.5,2129
Tokaji Aszú 5 Puttonyos,Tokaj,72.48,2013,4.5,550
Toro,Toro,62.9,2017,4.5,2883
Torre Muga,Rioja,79.95,2016,4.5,1233
Toscana,Toscana,3748.472222222222,"2001,2004,2005,2006,2007,2008,2010,2014,2015",4.722222222222222,6890
Toscana I Sodi di San Niccolo,Toscana,241.875,"2016,2017",4.4,1268
Unico,Ribera del Duero,410.0,2012,4.7,675
V.P Extra Brut Champagne Grand Cru 'Ambonnay',Champagne Grand Cru 'Ambonnay',149.95,N.V.,4.4,2079
Valbuena 5º,Ribera del Duero,202.2,2016,4.7,3465
Valpolicella Superiore Monte Lodoletta,Valpolicella,222.08333333333334,"2004,2007,2011",4.5,2978
Vecchie Vigne Brunello di Montalcino,Brunello di Montalcino,145.0,2015,4.5,506
Veneto Rosso del Bepi,Veneto,243.8,2010,4.5,760
Vin de Pays de l'Hérault,Hérault,683.75,"2011,2012,2013",4.5,2471
Vintage,Champagne,1511.25,"1996,2002,2008",4.666666666666667,3374
Vürsù Barolo Campè,Barolo,232.5,2004,4.5,559
